viral_load_matrix	Simulated_populations_two_wave/seir_viral_loads_swab_switch_SEIR_new_1.viral_loads.npz
infection_time	Simulated_populations_two_wave/used_pars_swab_switch_SEIR_new_1.csv
savepath	designs/hypergraph/
n_individuals	96
m_pools	8
q_split	1
start_time	0
end_time	200
fp_rate	0.01
LOD	100
pool_compositions	../simulation/designs/hypergraph/Design.n-96_m-8_q-1.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 201) and 16654585 entries
loading pools from: ../simulation/designs/hypergraph/Design.n-96_m-8_q-1.npy
Time: 0; Case frequency: 0.00000; Efficiency: 10.72; Sensitivity: 1.0000; Fraction >LOD: nan
Time: 1; Case frequency: 0.00000; Efficiency: 10.72; Sensitivity: 1.0000; Fraction >LOD: nan
Time: 2; Case frequency: 0.00000; Efficiency: 10.71; Sensitivity: 1.0000; Fraction >LOD: nan
Time: 3; Case frequency: 0.00000; Efficiency: 10.73; Sensitivity: 0.3077; Fraction >LOD: 0.6364
Time: 4; Case frequency: 0.00000; Efficiency: 10.70; Sensitivity: 0.6393; Fraction >LOD: 0.6286
Time: 5; Case frequency: 0.00001; Efficiency: 10.69; Sensitivity: 0.9259; Fraction >LOD: 0.9538
Time: 6; Case frequency: 0.00001; Efficiency: 10.69; Sensitivity: 0.8079; Fraction >LOD: 0.8627
Time: 7; Case frequency: 0.00001; Efficiency: 10.71; Sensitivity: 0.8525; Fraction >LOD: 0.9111
Time: 8; Case frequency: 0.00001; Efficiency: 10.70; Sensitivity: 0.8853; Fraction >LOD: 0.9302
Time: 9; Case frequency: 0.00002; Efficiency: 10.70; Sensitivity: 0.9184; Fraction >LOD: 0.9450
Time: 10; Case frequency: 0.00002; Efficiency: 10.69; Sensitivity: 0.9183; Fraction >LOD: 0.9640
Time: 11; Case frequency: 0.00002; Efficiency: 10.70; Sensitivity: 0.9084; Fraction >LOD: 0.9400
Time: 12; Case frequency: 0.00002; Efficiency: 10.69; Sensitivity: 0.9357; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00003; Efficiency: 10.69; Sensitivity: 0.8996; Fraction >LOD: 0.9565
Time: 14; Case frequency: 0.00003; Efficiency: 10.67; Sensitivity: 0.8745; Fraction >LOD: 0.9365
Time: 15; Case frequency: 0.00003; Efficiency: 10.68; Sensitivity: 0.8409; Fraction >LOD: 0.9250
Time: 16; Case frequency: 0.00004; Efficiency: 10.70; Sensitivity: 0.8289; Fraction >LOD: 0.9131
Time: 17; Case frequency: 0.00004; Efficiency: 10.68; Sensitivity: 0.8108; Fraction >LOD: 0.9096
Time: 18; Case frequency: 0.00004; Efficiency: 10.67; Sensitivity: 0.7883; Fraction >LOD: 0.8887
Time: 19; Case frequency: 0.00005; Efficiency: 10.67; Sensitivity: 0.7890; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00005; Efficiency: 10.66; Sensitivity: 0.7701; Fraction >LOD: 0.8725
Time: 21; Case frequency: 0.00006; Efficiency: 10.65; Sensitivity: 0.7521; Fraction >LOD: 0.8591
Time: 22; Case frequency: 0.00006; Efficiency: 10.64; Sensitivity: 0.7600; Fraction >LOD: 0.8550
Time: 23; Case frequency: 0.00007; Efficiency: 10.63; Sensitivity: 0.7502; Fraction >LOD: 0.8570
Time: 24; Case frequency: 0.00008; Efficiency: 10.65; Sensitivity: 0.7101; Fraction >LOD: 0.8408
Time: 25; Case frequency: 0.00008; Efficiency: 10.63; Sensitivity: 0.7239; Fraction >LOD: 0.8372
Time: 26; Case frequency: 0.00009; Efficiency: 10.63; Sensitivity: 0.7374; Fraction >LOD: 0.8367
