Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
12,12,12,12,1,1.000000,individual,10.181325
12,12,12,6,1,1.000000,hypergraph,10.027989
12,24,12,12,1,1.000000,individual,10.181325
12,24,12,6,1,1.000000,hypergraph,10.027989
12,48,12,12,1,1.000000,individual,10.181325
12,48,12,6,1,1.000000,hypergraph,10.027989
12,96,12,12,1,1.000000,individual,10.181325
12,96,12,6,1,1.000000,hypergraph,10.027989
12,192,12,12,1,1.000000,individual,10.181325
12,192,12,6,1,1.000000,hypergraph,10.027989
12,384,12,12,1,1.000000,individual,10.181325
12,384,12,6,1,1.000000,hypergraph,10.027989
12,768,12,12,1,1.000000,individual,10.181325
12,768,12,6,1,1.000000,hypergraph,10.027989
12,1536,12,12,1,1.000000,individual,10.181325
12,1536,12,6,1,1.000000,hypergraph,10.027989
12,3072,12,12,1,1.000000,individual,10.181325
12,3072,12,6,1,1.000000,hypergraph,10.027989
12,6144,12,12,1,1.000000,individual,10.181325
12,6144,12,6,1,1.000000,hypergraph,10.027989
24,12,12,12,1,1.000000,individual,10.181325
24,12,4,1,1,6.000000,hypergraph,19.029188
24,24,24,24,1,1.000000,individual,20.362650
24,24,12,6,1,2.000000,hypergraph,20.055978
24,48,24,24,1,1.000000,individual,20.362650
24,48,12,6,1,2.000000,hypergraph,20.055978
24,96,24,24,1,1.000000,individual,20.362650
24,96,12,6,1,2.000000,hypergraph,20.055978
24,192,24,24,1,1.000000,individual,20.362650
24,192,12,6,1,2.000000,hypergraph,20.055978
24,384,24,24,1,1.000000,individual,20.362650
24,384,12,6,1,2.000000,hypergraph,20.055978
24,768,24,24,1,1.000000,individual,20.362650
24,768,12,6,1,2.000000,hypergraph,20.055978
24,1536,24,24,1,1.000000,individual,20.362650
24,1536,12,6,1,2.000000,hypergraph,20.055978
24,3072,24,24,1,1.000000,individual,20.362650
24,3072,12,6,1,2.000000,hypergraph,20.055978
24,6144,24,24,1,1.000000,individual,20.362650
24,6144,12,6,1,2.000000,hypergraph,20.055978
48,12,12,12,1,1.000000,individual,10.181325
48,12,8,1,1,6.000000,hypergraph,37.271491
48,24,24,24,1,1.000000,individual,20.362650
48,24,44,11,1,1.090909,hypergraph,39.286685
48,48,48,48,1,1.000000,individual,40.725300
48,48,12,6,1,4.000000,hypergraph,40.111955
48,96,48,48,1,1.000000,individual,40.725300
48,96,12,6,1,4.000000,hypergraph,40.111955
48,192,48,48,1,1.000000,individual,40.725300
48,192,12,6,1,4.000000,hypergraph,40.111955
48,384,48,48,1,1.000000,individual,40.725300
48,384,12,6,1,4.000000,hypergraph,40.111955
48,768,48,48,1,1.000000,individual,40.725300
48,768,12,6,1,4.000000,hypergraph,40.111955
48,1536,48,48,1,1.000000,individual,40.725300
48,1536,12,6,1,4.000000,hypergraph,40.111955
48,3072,48,48,1,1.000000,individual,40.725300
48,3072,12,6,1,4.000000,hypergraph,40.111955
48,6144,48,48,1,1.000000,individual,40.725300
48,6144,12,6,1,4.000000,hypergraph,40.111955
96,12,12,12,1,1.000000,individual,10.181325
96,12,96,8,2,0.927942,hypergraph,64.864843
96,24,24,24,1,1.000000,individual,20.362650
96,24,96,20,2,1.000000,array_8x12,72.738904
96,24,8,1,1,12.000000,hypergraph,74.542983
96,48,48,48,1,1.000000,individual,40.725300
96,48,96,20,2,1.000000,array_8x12,72.738904
96,48,44,11,1,2.181818,hypergraph,78.573371
96,96,96,96,1,1.000000,individual,81.450600
96,96,96,20,2,1.000000,array_8x12,72.738904
96,96,12,6,1,8.000000,hypergraph,80.223910
96,192,96,96,1,1.000000,individual,81.450600
96,192,96,20,2,1.000000,array_8x12,72.738904
96,192,12,6,1,8.000000,hypergraph,80.223910
96,384,96,96,1,1.000000,individual,81.450600
96,384,96,20,2,1.000000,array_8x12,72.738904
96,384,12,6,1,8.000000,hypergraph,80.223910
96,768,96,96,1,1.000000,individual,81.450600
96,768,96,20,2,1.000000,array_8x12,72.738904
96,768,12,6,1,8.000000,hypergraph,80.223910
96,1536,96,96,1,1.000000,individual,81.450600
96,1536,96,20,2,1.000000,array_8x12,72.738904
96,1536,12,6,1,8.000000,hypergraph,80.223910
96,3072,96,96,1,1.000000,individual,81.450600
