Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
12,12,12,12,1,1.000000,individual,10.156266
12,12,12,6,1,1.000000,hypergraph,9.826469
12,24,12,12,1,1.000000,individual,10.156266
12,24,12,12,2,1.000000,hypergraph,9.894484
12,48,12,12,1,1.000000,individual,10.156266
12,48,12,12,2,1.000000,hypergraph,9.894484
12,96,12,12,1,1.000000,individual,10.156266
12,96,12,12,2,1.000000,hypergraph,9.894484
12,192,12,12,1,1.000000,individual,10.156266
12,192,12,12,2,1.000000,hypergraph,9.894484
12,384,12,12,1,1.000000,individual,10.156266
12,384,12,12,2,1.000000,hypergraph,9.894484
12,768,12,12,1,1.000000,individual,10.156266
12,768,12,12,2,1.000000,hypergraph,9.894484
12,1536,12,12,1,1.000000,individual,10.156266
12,1536,12,12,2,1.000000,hypergraph,9.894484
12,3072,12,12,1,1.000000,individual,10.156266
12,3072,12,12,2,1.000000,hypergraph,9.894484
12,6144,12,12,1,1.000000,individual,10.156266
12,6144,12,12,2,1.000000,hypergraph,9.894484
24,12,12,12,1,1.000000,individual,10.156266
24,12,8,1,1,3.000000,hypergraph,18.904438
24,24,24,24,1,1.000000,individual,20.312531
24,24,20,10,1,1.200000,hypergraph,19.710516
24,48,24,24,1,1.000000,individual,20.312531
24,48,20,20,2,1.200000,hypergraph,19.950420
24,96,24,24,1,1.000000,individual,20.312531
24,96,20,20,2,1.200000,hypergraph,19.950420
24,192,24,24,1,1.000000,individual,20.312531
24,192,20,20,2,1.200000,hypergraph,19.950420
24,384,24,24,1,1.000000,individual,20.312531
24,384,20,20,2,1.200000,hypergraph,19.950420
24,768,24,24,1,1.000000,individual,20.312531
24,768,20,20,2,1.200000,hypergraph,19.950420
24,1536,24,24,1,1.000000,individual,20.312531
24,1536,20,20,2,1.200000,hypergraph,19.950420
24,3072,24,24,1,1.000000,individual,20.312531
24,3072,20,20,2,1.200000,hypergraph,19.950420
24,6144,24,24,1,1.000000,individual,20.312531
24,6144,20,20,2,1.200000,hypergraph,19.950420
48,12,12,12,1,1.000000,individual,10.156266
48,12,48,6,2,0.928308,hypergraph,33.281028
48,24,24,24,1,1.000000,individual,20.312531
48,24,48,16,1,1.000000,hypergraph,38.714628
48,48,48,48,1,1.000000,individual,40.625063
48,48,44,22,1,1.090909,hypergraph,39.689724
48,96,48,48,1,1.000000,individual,40.625063
48,96,20,20,2,2.400000,hypergraph,39.900840
48,192,48,48,1,1.000000,individual,40.625063
48,192,20,20,2,2.400000,hypergraph,39.900840
48,384,48,48,1,1.000000,individual,40.625063
48,384,20,20,2,2.400000,hypergraph,39.900840
48,768,48,48,1,1.000000,individual,40.625063
48,768,20,20,2,2.400000,hypergraph,39.900840
48,1536,48,48,1,1.000000,individual,40.625063
48,1536,20,20,2,2.400000,hypergraph,39.900840
48,3072,48,48,1,1.000000,individual,40.625063
48,3072,20,20,2,2.400000,hypergraph,39.900840
48,6144,48,48,1,1.000000,individual,40.625063
48,6144,20,20,2,2.400000,hypergraph,39.900840
96,12,12,12,1,1.000000,individual,10.156266
96,12,48,6,2,0.928308,hypergraph,33.281028
96,24,24,24,1,1.000000,individual,20.312531
96,24,96,20,2,0.922452,array_8x12,66.407709
96,24,96,16,2,1.000000,hypergraph,72.402878
96,48,48,48,1,1.000000,individual,40.625063
96,48,96,20,2,1.000000,array_8x12,71.990412
96,48,96,32,1,1.000000,hypergraph,78.004796
96,96,96,96,1,1.000000,individual,81.250126
96,96,96,20,2,1.000000,array_8x12,71.990412
96,96,44,22,1,2.181818,hypergraph,79.379448
96,192,96,96,1,1.000000,individual,81.250126
96,192,96,20,2,1.000000,array_8x12,71.990412
96,192,20,20,2,4.800000,hypergraph,79.801679
96,384,96,96,1,1.000000,individual,81.250126
96,384,96,20,2,1.000000,array_8x12,71.990412
96,384,20,20,2,4.800000,hypergraph,79.801679
96,768,96,96,1,1.000000,individual,81.250126
96,768,96,20,2,1.000000,array_8x12,71.990412
96,768,20,20,2,4.800000,hypergraph,79.801679
96,1536,96,96,1,1.000000,individual,81.250126
96,1536,96,20,2,1.000000,array_8x12,71.990412
96,1536,20,20,2,4.800000,hypergraph,79.801679
96,3072,96,96,1,1.000000,individual,81.250126
96,3072,96,20,2,1.000000,array_8x12,71.990412
96,3072,20,20,2,4.800000,hypergraph,79.801679
96,6144,96,96,1,1.000000,individual,81.250126
96,6144,96,20,2,1.000000,array_8x12,71.990412
96,6144,20,20,2,4.800000,hypergraph,79.801679
192,12,12,12,1,1.000000,individual,10.156266
192,12,48,6,2,0.928308,hypergraph,33.281028
192,24,24,24,1,1.000000,individual,20.312531
192,24,96,20,2,0.922452,array_8x12,66.407709
192,24,96,14,2,1.050126,hypergraph,74.813001
192,48,48,48,1,1.000000,individual,40.625063
192,48,96,20,2,1.844904,array_8x12,132.815418
192,48,96,16,2,2.000000,hypergraph,144.805755
192,96,96,96,1,1.000000,individual,81.250126
192,96,96,20,2,2.000000,array_8x12,143.980823
192,96,96,32,1,2.000000,hypergraph,156.009592
192,192,192,192,1,1.000000,individual,162.500251
192,192,96,20,2,2.000000,array_8x12,143.980823
192,192,192,96,1,1.000000,hypergraph,158.923026
192,384,192,192,1,1.000000,individual,162.500251
192,384,96,20,2,2.000000,array_8x12,143.980823
192,384,20,20,2,9.600000,hypergraph,159.603359
192,768,192,192,1,1.000000,individual,162.500251
192,768,96,20,2,2.000000,array_8x12,143.980823
192,768,20,20,2,9.600000,hypergraph,159.603359
192,1536,192,192,1,1.000000,individual,162.500251
192,1536,96,20,2,2.000000,array_8x12,143.980823
192,1536,20,20,2,9.600000,hypergraph,159.603359
192,3072,192,192,1,1.000000,individual,162.500251
192,3072,96,20,2,2.000000,array_8x12,143.980823
192,3072,20,20,2,9.600000,hypergraph,159.603359
192,6144,192,192,1,1.000000,individual,162.500251
192,6144,96,20,2,2.000000,array_8x12,143.980823
192,6144,20,20,2,9.600000,hypergraph,159.603359
384,12,12,12,1,1.000000,individual,10.156266
384,12,48,6,2,0.928308,hypergraph,33.281028
384,24,24,24,1,1.000000,individual,20.312531
384,24,96,20,2,0.922452,array_8x12,66.407709
384,24,96,14,2,1.050126,hypergraph,74.813001
384,48,48,48,1,1.000000,individual,40.625063
384,48,96,20,2,1.844904,array_8x12,132.815418
384,48,384,48,6,1.000000,pbest,150.595661
384,48,192,30,3,1.085601,hypergraph,151.255207
384,96,96,96,1,1.000000,individual,81.250126
384,96,96,20,2,3.689809,array_8x12,265.630836
384,96,384,48,6,1.000000,pbest,150.595661
384,96,384,40,2,0.991972,array_16x24,280.577862
384,96,384,64,2,1.000000,hypergraph,289.837396
384,192,192,192,1,1.000000,individual,162.500251
384,192,96,20,2,4.000000,array_8x12,287.961646
384,192,384,48,6,1.000000,pbest,150.595661
384,192,384,40,2,1.000000,array_16x24,282.848475
384,192,96,32,1,4.000000,hypergraph,312.019185
384,384,384,384,1,1.000000,individual,325.000503
384,384,96,20,2,4.000000,array_8x12,287.961646
384,384,384,48,6,1.000000,pbest,150.595661
384,384,384,40,2,1.000000,array_16x24,282.848475
384,384,384,1,1,1.000000,hypergraph,324.839077
384,768,384,384,1,1.000000,individual,325.000503
384,768,96,20,2,4.000000,array_8x12,287.961646
384,768,384,48,6,1.000000,pbest,150.595661
384,768,384,40,2,1.000000,array_16x24,282.848475
384,768,384,1,1,1.000000,hypergraph,324.839077
384,1536,384,384,1,1.000000,individual,325.000503
384,1536,96,20,2,4.000000,array_8x12,287.961646
384,1536,384,48,6,1.000000,pbest,150.595661
384,1536,384,40,2,1.000000,array_16x24,282.848475
384,1536,384,1,1,1.000000,hypergraph,324.839077
384,3072,384,384,1,1.000000,individual,325.000503
384,3072,96,20,2,4.000000,array_8x12,287.961646
384,3072,384,48,6,1.000000,pbest,150.595661
384,3072,384,40,2,1.000000,array_16x24,282.848475
384,3072,384,1,1,1.000000,hypergraph,324.839077
384,6144,384,384,1,1.000000,individual,325.000503
384,6144,96,20,2,4.000000,array_8x12,287.961646
384,6144,384,48,6,1.000000,pbest,150.595661
384,6144,384,40,2,1.000000,array_16x24,282.848475
384,6144,384,1,1,1.000000,hypergraph,324.839077
768,12,12,12,1,1.000000,individual,10.156266
768,12,48,6,2,0.928308,hypergraph,33.281028
768,24,24,24,1,1.000000,individual,20.312531
768,24,96,20,2,0.922452,array_8x12,66.407709
768,24,96,14,2,1.050126,hypergraph,74.813001
768,48,48,48,1,1.000000,individual,40.625063
768,48,96,20,2,1.844904,array_8x12,132.815418
768,48,384,48,6,1.000000,pbest,150.595661
768,48,192,30,3,1.085601,hypergraph,151.255207
768,96,96,96,1,1.000000,individual,81.250126
768,96,96,20,2,3.689809,array_8x12,265.630836
768,96,384,48,6,2.000000,pbest,301.191321
768,96,384,40,2,0.991972,array_16x24,280.577862
768,96,384,48,3,1.108270,hypergraph,309.022416
768,192,192,192,1,1.000000,individual,162.500251
768,192,96,20,2,7.379617,array_8x12,531.261671
768,192,384,48,6,2.000000,pbest,301.191321
768,192,384,40,2,1.983945,array_16x24,561.155725
768,192,384,64,2,2.000000,hypergraph,579.674791
768,384,384,384,1,1.000000,individual,325.000503
768,384,96,20,2,8.000000,array_8x12,575.923292
768,384,384,48,6,2.000000,pbest,301.191321
768,384,384,40,2,2.000000,array_16x24,565.696950
768,384,96,32,1,8.000000,hypergraph,624.038369
768,768,768,768,1,1.000000,individual,650.001006
768,768,96,20,2,8.000000,array_8x12,575.923292
768,768,384,48,6,2.000000,pbest,301.191321
768,768,384,40,2,2.000000,array_16x24,565.696950
768,768,384,1,1,2.000000,hypergraph,649.678153
768,1536,768,768,1,1.000000,individual,650.001006
768,1536,96,20,2,8.000000,array_8x12,575.923292
768,1536,384,48,6,2.000000,pbest,301.191321
768,1536,384,40,2,2.000000,array_16x24,565.696950
768,1536,384,1,1,2.000000,hypergraph,649.678153
768,3072,768,768,1,1.000000,individual,650.001006
768,3072,96,20,2,8.000000,array_8x12,575.923292
768,3072,384,48,6,2.000000,pbest,301.191321
768,3072,384,40,2,2.000000,array_16x24,565.696950
768,3072,384,1,1,2.000000,hypergraph,649.678153
768,6144,768,768,1,1.000000,individual,650.001006
768,6144,96,20,2,8.000000,array_8x12,575.923292
768,6144,384,48,6,2.000000,pbest,301.191321
768,6144,384,40,2,2.000000,array_16x24,565.696950
768,6144,384,1,1,2.000000,hypergraph,649.678153
1536,12,12,12,1,1.000000,individual,10.156266
1536,12,48,6,2,0.928308,hypergraph,33.281028
1536,24,24,24,1,1.000000,individual,20.312531
1536,24,96,20,2,0.922452,array_8x12,66.407709
1536,24,96,14,2,1.050126,hypergraph,74.813001
1536,48,48,48,1,1.000000,individual,40.625063
1536,48,96,20,2,1.844904,array_8x12,132.815418
1536,48,384,48,6,1.000000,pbest,150.595661
1536,48,192,30,3,1.085601,hypergraph,151.255207
1536,96,96,96,1,1.000000,individual,81.250126
1536,96,96,20,2,3.689809,array_8x12,265.630836
1536,96,384,48,6,2.000000,pbest,301.191321
1536,96,384,40,2,0.991972,array_16x24,280.577862
1536,96,384,48,3,1.108270,hypergraph,309.022416
1536,192,192,192,1,1.000000,individual,162.500251
1536,192,96,20,2,7.379617,array_8x12,531.261671
1536,192,384,48,6,4.000000,pbest,602.382643
1536,192,384,40,2,1.983945,array_16x24,561.155725
1536,192,720,90,3,1.222682,hypergraph,630.067475
1536,384,384,384,1,1.000000,individual,325.000503
1536,384,96,20,2,14.759234,array_8x12,1062.523343
1536,384,384,48,6,4.000000,pbest,602.382643
1536,384,384,40,2,3.967889,array_16x24,1122.311449
1536,384,384,64,2,4.000000,hypergraph,1159.349583
1536,768,768,768,1,1.000000,individual,650.001006
1536,768,96,20,2,16.000000,array_8x12,1151.846584
1536,768,384,48,6,4.000000,pbest,602.382643
1536,768,384,40,2,4.000000,array_16x24,1131.393900
1536,768,96,32,1,16.000000,hypergraph,1248.076739
1536,1536,1536,1536,1,1.000000,individual,1300.002012
1536,1536,96,20,2,16.000000,array_8x12,1151.846584
1536,1536,384,48,6,4.000000,pbest,602.382643
1536,1536,384,40,2,4.000000,array_16x24,1131.393900
1536,1536,384,1,1,4.000000,hypergraph,1299.356306
1536,3072,1536,1536,1,1.000000,individual,1300.002012
1536,3072,96,20,2,16.000000,array_8x12,1151.846584
1536,3072,384,48,6,4.000000,pbest,602.382643
1536,3072,384,40,2,4.000000,array_16x24,1131.393900
1536,3072,384,1,1,4.000000,hypergraph,1299.356306
1536,6144,1536,1536,1,1.000000,individual,1300.002012
1536,6144,96,20,2,16.000000,array_8x12,1151.846584
1536,6144,384,48,6,4.000000,pbest,602.382643
1536,6144,384,40,2,4.000000,array_16x24,1131.393900
1536,6144,384,1,1,4.000000,hypergraph,1299.356306
3072,12,12,12,1,1.000000,individual,10.156266
3072,12,48,6,2,0.928308,hypergraph,33.281028
3072,24,24,24,1,1.000000,individual,20.312531
3072,24,96,20,2,0.922452,array_8x12,66.407709
3072,24,96,14,2,1.050126,hypergraph,74.813001
3072,48,48,48,1,1.000000,individual,40.625063
3072,48,96,20,2,1.844904,array_8x12,132.815418
3072,48,384,48,6,1.000000,pbest,150.595661
3072,48,192,30,3,1.085601,hypergraph,151.255207
3072,96,96,96,1,1.000000,individual,81.250126
3072,96,96,20,2,3.689809,array_8x12,265.630836
3072,96,384,48,6,2.000000,pbest,301.191321
3072,96,384,40,2,0.991972,array_16x24,280.577862
3072,96,384,48,3,1.108270,hypergraph,309.022416
3072,192,192,192,1,1.000000,individual,162.500251
3072,192,96,20,2,7.379617,array_8x12,531.261671
3072,192,384,48,6,4.000000,pbest,602.382643
3072,192,384,40,2,1.983945,array_16x24,561.155725
3072,192,720,90,3,1.222682,hypergraph,630.067475
3072,384,384,384,1,1.000000,individual,325.000503
3072,384,96,20,2,14.759234,array_8x12,1062.523343
3072,384,384,48,6,8.000000,pbest,1204.765286
3072,384,384,40,2,3.967889,array_16x24,1122.311449
3072,384,720,90,3,2.445363,hypergraph,1260.134951
3072,768,768,768,1,1.000000,individual,650.001006
3072,768,96,20,2,29.518468,array_8x12,2125.046686
3072,768,384,48,6,8.000000,pbest,1204.765286
3072,768,384,40,2,7.935779,array_16x24,2244.622898
3072,768,384,64,2,8.000000,hypergraph,2318.699166
3072,1536,1536,1536,1,1.000000,individual,1300.002012
3072,1536,96,20,2,32.000000,array_8x12,2303.693168
3072,1536,384,48,6,8.000000,pbest,1204.765286
3072,1536,384,40,2,8.000000,array_16x24,2262.787800
3072,1536,96,32,1,32.000000,hypergraph,2496.153477
3072,3072,3072,3072,1,1.000000,individual,2600.004023
3072,3072,96,20,2,32.000000,array_8x12,2303.693168
3072,3072,384,48,6,8.000000,pbest,1204.765286
3072,3072,384,40,2,8.000000,array_16x24,2262.787800
3072,3072,384,1,1,8.000000,hypergraph,2598.712613
3072,6144,3072,3072,1,1.000000,individual,2600.004023
3072,6144,96,20,2,32.000000,array_8x12,2303.693168
3072,6144,384,48,6,8.000000,pbest,1204.765286
3072,6144,384,40,2,8.000000,array_16x24,2262.787800
3072,6144,384,1,1,8.000000,hypergraph,2598.712613
6144,12,12,12,1,1.000000,individual,10.156266
6144,12,48,6,2,0.928308,hypergraph,33.281028
6144,24,24,24,1,1.000000,individual,20.312531
6144,24,96,20,2,0.922452,array_8x12,66.407709
6144,24,96,14,2,1.050126,hypergraph,74.813001
6144,48,48,48,1,1.000000,individual,40.625063
