Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
12,12,12,12,1,1.000000,individual,10.119901
12,12,12,6,1,1.000000,hypergraph,9.740104
12,24,12,12,1,1.000000,individual,10.119901
12,24,12,6,1,1.000000,hypergraph,9.740104
12,48,12,12,1,1.000000,individual,10.119901
12,48,12,6,1,1.000000,hypergraph,9.740104
12,96,12,12,1,1.000000,individual,10.119901
12,96,12,6,1,1.000000,hypergraph,9.740104
12,192,12,12,1,1.000000,individual,10.119901
12,192,12,6,1,1.000000,hypergraph,9.740104
12,384,12,12,1,1.000000,individual,10.119901
12,384,12,6,1,1.000000,hypergraph,9.740104
12,768,12,12,1,1.000000,individual,10.119901
12,768,12,6,1,1.000000,hypergraph,9.740104
12,1536,12,12,1,1.000000,individual,10.119901
12,1536,12,6,1,1.000000,hypergraph,9.740104
12,3072,12,12,1,1.000000,individual,10.119901
12,3072,12,6,1,1.000000,hypergraph,9.740104
12,6144,12,12,1,1.000000,individual,10.119901
12,6144,12,6,1,1.000000,hypergraph,9.740104
24,12,12,12,1,1.000000,individual,10.119901
24,12,4,1,1,6.000000,hypergraph,19.292978
24,24,24,24,1,1.000000,individual,20.239802
24,24,20,20,2,1.198824,hypergraph,19.509057
24,48,24,24,1,1.000000,individual,20.239802
24,48,20,20,2,1.200000,hypergraph,19.528189
24,96,24,24,1,1.000000,individual,20.239802
24,96,20,20,2,1.200000,hypergraph,19.528189
24,192,24,24,1,1.000000,individual,20.239802
24,192,20,20,2,1.200000,hypergraph,19.528189
24,384,24,24,1,1.000000,individual,20.239802
24,384,20,20,2,1.200000,hypergraph,19.528189
24,768,24,24,1,1.000000,individual,20.239802
24,768,20,20,2,1.200000,hypergraph,19.528189
24,1536,24,24,1,1.000000,individual,20.239802
24,1536,20,20,2,1.200000,hypergraph,19.528189
24,3072,24,24,1,1.000000,individual,20.239802
24,3072,20,20,2,1.200000,hypergraph,19.528189
24,6144,24,24,1,1.000000,individual,20.239802
24,6144,20,20,2,1.200000,hypergraph,19.528189
48,12,12,12,1,1.000000,individual,10.119901
48,12,4,1,1,11.398393,hypergraph,36.651491
48,24,24,24,1,1.000000,individual,20.239802
48,24,40,20,1,1.172438,hypergraph,38.721866
48,48,48,48,1,1.000000,individual,40.479604
48,48,40,20,1,1.200000,hypergraph,39.632147
48,96,48,48,1,1.000000,individual,40.479604
48,96,40,20,1,1.200000,hypergraph,39.632147
48,192,48,48,1,1.000000,individual,40.479604
48,192,40,20,1,1.200000,hypergraph,39.632147
48,384,48,48,1,1.000000,individual,40.479604
48,384,40,20,1,1.200000,hypergraph,39.632147
48,768,48,48,1,1.000000,individual,40.479604
48,768,40,20,1,1.200000,hypergraph,39.632147
48,1536,48,48,1,1.000000,individual,40.479604
48,1536,40,20,1,1.200000,hypergraph,39.632147
48,3072,48,48,1,1.000000,individual,40.479604
48,3072,40,20,1,1.200000,hypergraph,39.632147
48,6144,48,48,1,1.000000,individual,40.479604
48,6144,40,20,1,1.200000,hypergraph,39.632147
96,12,12,12,1,1.000000,individual,10.119901
96,12,96,8,1,1.000000,hypergraph,70.829736
96,24,24,24,1,1.000000,individual,20.239802
96,24,96,20,2,1.000000,array_8x12,71.395442
96,24,100,20,1,0.960000,hypergraph,75.848061
96,48,48,48,1,1.000000,individual,40.479604
96,48,96,20,2,1.000000,array_8x12,71.395442
96,48,64,32,1,1.465092,hypergraph,78.431935
96,96,96,96,1,1.000000,individual,80.959209
96,96,96,20,2,1.000000,array_8x12,71.395442
96,96,64,32,1,1.500000,hypergraph,80.300680
96,192,96,96,1,1.000000,individual,80.959209
96,192,96,20,2,1.000000,array_8x12,71.395442
96,192,64,32,1,1.500000,hypergraph,80.300680
96,384,96,96,1,1.000000,individual,80.959209
96,384,96,20,2,1.000000,array_8x12,71.395442
96,384,64,32,1,1.500000,hypergraph,80.300680
96,768,96,96,1,1.000000,individual,80.959209
96,768,96,20,2,1.000000,array_8x12,71.395442
96,768,64,32,1,1.500000,hypergraph,80.300680
96,1536,96,96,1,1.000000,individual,80.959209
96,1536,96,20,2,1.000000,array_8x12,71.395442
96,1536,64,32,1,1.500000,hypergraph,80.300680
96,3072,96,96,1,1.000000,individual,80.959209
96,3072,96,20,2,1.000000,array_8x12,71.395442
96,3072,64,32,1,1.500000,hypergraph,80.300680
96,6144,96,96,1,1.000000,individual,80.959209
96,6144,96,20,2,1.000000,array_8x12,71.395442
96,6144,64,32,1,1.500000,hypergraph,80.300680
192,12,12,12,1,1.000000,individual,10.119901
192,12,96,3,1,1.983237,hypergraph,131.516404
192,24,24,24,1,1.000000,individual,20.239802
192,24,96,20,2,1.193805,array_8x12,85.232233
192,24,192,16,1,1.000000,hypergraph,144.729017
192,48,48,48,1,1.000000,individual,40.479604
192,48,96,20,2,2.000000,array_8x12,142.790884
192,48,100,20,1,1.920000,hypergraph,151.696122
192,96,96,96,1,1.000000,individual,80.959209
192,96,96,20,2,2.000000,array_8x12,142.790884
192,96,64,32,1,2.930184,hypergraph,156.863870
192,192,192,192,1,1.000000,individual,161.918418
192,192,96,20,2,2.000000,array_8x12,142.790884
192,192,64,32,1,3.000000,hypergraph,160.601359
192,384,192,192,1,1.000000,individual,161.918418
192,384,96,20,2,2.000000,array_8x12,142.790884
192,384,64,32,1,3.000000,hypergraph,160.601359
192,768,192,192,1,1.000000,individual,161.918418
192,768,96,20,2,2.000000,array_8x12,142.790884
192,768,64,32,1,3.000000,hypergraph,160.601359
