Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
12,12,12,12,1,1.000000,individual,10.170044
12,12,12,6,1,1.000000,hypergraph,9.855258
12,24,12,12,1,1.000000,individual,10.170044
12,24,12,12,2,1.000000,hypergraph,9.903239
12,48,12,12,1,1.000000,individual,10.170044
12,48,12,12,2,1.000000,hypergraph,9.903239
12,96,12,12,1,1.000000,individual,10.170044
12,96,12,12,2,1.000000,hypergraph,9.903239
12,192,12,12,1,1.000000,individual,10.170044
12,192,12,12,2,1.000000,hypergraph,9.903239
12,384,12,12,1,1.000000,individual,10.170044
12,384,12,12,2,1.000000,hypergraph,9.903239
12,768,12,12,1,1.000000,individual,10.170044
12,768,12,12,2,1.000000,hypergraph,9.903239
12,1536,12,12,1,1.000000,individual,10.170044
12,1536,12,12,2,1.000000,hypergraph,9.903239
12,3072,12,12,1,1.000000,individual,10.170044
12,3072,12,12,2,1.000000,hypergraph,9.903239
12,6144,12,12,1,1.000000,individual,10.170044
12,6144,12,12,2,1.000000,hypergraph,9.903239
24,12,12,12,1,1.000000,individual,10.170044
24,12,4,1,1,6.000000,hypergraph,19.153938
24,24,24,24,1,1.000000,individual,20.340088
24,24,12,6,1,2.000000,hypergraph,19.710516
24,48,24,24,1,1.000000,individual,20.340088
24,48,20,30,3,1.200000,hypergraph,19.875300
24,96,24,24,1,1.000000,individual,20.340088
24,96,20,30,3,1.200000,hypergraph,19.875300
24,192,24,24,1,1.000000,individual,20.340088
24,192,20,30,3,1.200000,hypergraph,19.875300
24,384,24,24,1,1.000000,individual,20.340088
24,384,20,30,3,1.200000,hypergraph,19.875300
24,768,24,24,1,1.000000,individual,20.340088
24,768,20,30,3,1.200000,hypergraph,19.875300
24,1536,24,24,1,1.000000,individual,20.340088
24,1536,20,30,3,1.200000,hypergraph,19.875300
24,3072,24,24,1,1.000000,individual,20.340088
24,3072,20,30,3,1.200000,hypergraph,19.875300
24,6144,24,24,1,1.000000,individual,20.340088
24,6144,20,30,3,1.200000,hypergraph,19.875300
48,12,12,12,1,1.000000,individual,10.170044
48,12,48,6,2,1.000000,hypergraph,35.472422
48,24,24,24,1,1.000000,individual,20.340088
48,24,48,16,1,1.000000,hypergraph,39.152339
48,48,48,48,1,1.000000,individual,40.680176
48,48,48,24,1,1.000000,hypergraph,39.785686
48,96,48,48,1,1.000000,individual,40.680176
48,96,44,44,2,1.090909,hypergraph,40.035186
48,192,48,48,1,1.000000,individual,40.680176
48,192,44,44,2,1.090909,hypergraph,40.035186
48,384,48,48,1,1.000000,individual,40.680176
48,384,44,44,2,1.090909,hypergraph,40.035186
48,768,48,48,1,1.000000,individual,40.680176
48,768,44,44,2,1.090909,hypergraph,40.035186
48,1536,48,48,1,1.000000,individual,40.680176
48,1536,44,44,2,1.090909,hypergraph,40.035186
48,3072,48,48,1,1.000000,individual,40.680176
48,3072,44,44,2,1.090909,hypergraph,40.035186
48,6144,48,48,1,1.000000,individual,40.680176
48,6144,44,44,2,1.090909,hypergraph,40.035186
96,12,12,12,1,1.000000,individual,10.170044
96,12,48,6,2,1.121900,hypergraph,39.796501
96,24,24,24,1,1.000000,individual,20.340088
96,24,96,20,2,0.988048,array_8x12,71.073072
96,24,64,12,2,1.500000,hypergraph,73.438849
96,48,48,48,1,1.000000,individual,40.680176
96,48,96,20,2,1.000000,array_8x12,71.932827
96,48,48,16,1,2.000000,hypergraph,78.304678
96,96,96,96,1,1.000000,individual,81.360352
96,96,96,20,2,1.000000,array_8x12,71.932827
96,96,48,24,1,2.000000,hypergraph,79.571371
96,192,96,96,1,1.000000,individual,81.360352
96,192,96,20,2,1.000000,array_8x12,71.932827
96,192,44,44,2,2.181818,hypergraph,80.070372
96,384,96,96,1,1.000000,individual,81.360352
96,384,96,20,2,1.000000,array_8x12,71.932827
96,384,44,44,2,2.181818,hypergraph,80.070372
96,768,96,96,1,1.000000,individual,81.360352
96,768,96,20,2,1.000000,array_8x12,71.932827
96,768,44,44,2,2.181818,hypergraph,80.070372
96,1536,96,96,1,1.000000,individual,81.360352
96,1536,96,20,2,1.000000,array_8x12,71.932827
96,1536,44,44,2,2.181818,hypergraph,80.070372
96,3072,96,96,1,1.000000,individual,81.360352
96,3072,96,20,2,1.000000,array_8x12,71.932827
96,3072,44,44,2,2.181818,hypergraph,80.070372
96,6144,96,96,1,1.000000,individual,81.360352
96,6144,96,20,2,1.000000,array_8x12,71.932827
96,6144,44,44,2,2.181818,hypergraph,80.070372
192,12,12,12,1,1.000000,individual,10.170044
192,12,48,6,2,1.121900,hypergraph,39.796501
192,24,24,24,1,1.000000,individual,20.340088
192,24,96,20,2,0.988048,array_8x12,71.073072
192,24,96,12,2,1.218132,hypergraph,86.548228
192,48,48,48,1,1.000000,individual,40.680176
192,48,96,20,2,1.976096,array_8x12,142.146144
192,48,64,12,2,3.000000,hypergraph,146.877698
192,96,96,96,1,1.000000,individual,81.360352
192,96,96,20,2,2.000000,array_8x12,143.865654
192,96,48,16,1,4.000000,hypergraph,156.609356
192,192,192,192,1,1.000000,individual,162.720704
192,192,96,20,2,2.000000,array_8x12,143.865654
192,192,48,24,1,4.000000,hypergraph,159.142743
192,384,192,192,1,1.000000,individual,162.720704
192,384,96,20,2,2.000000,array_8x12,143.865654
192,384,44,44,2,4.363636,hypergraph,160.140744
192,768,192,192,1,1.000000,individual,162.720704
192,768,96,20,2,2.000000,array_8x12,143.865654
192,768,44,44,2,4.363636,hypergraph,160.140744
192,1536,192,192,1,1.000000,individual,162.720704
192,1536,96,20,2,2.000000,array_8x12,143.865654
192,1536,44,44,2,4.363636,hypergraph,160.140744
192,3072,192,192,1,1.000000,individual,162.720704
192,3072,96,20,2,2.000000,array_8x12,143.865654
192,3072,44,44,2,4.363636,hypergraph,160.140744
192,6144,192,192,1,1.000000,individual,162.720704
192,6144,96,20,2,2.000000,array_8x12,143.865654
192,6144,44,44,2,4.363636,hypergraph,160.140744
384,12,12,12,1,1.000000,individual,10.170044
384,12,48,6,2,1.121900,hypergraph,39.796501
384,24,24,24,1,1.000000,individual,20.340088
384,24,96,20,2,0.988048,array_8x12,71.073072
384,24,96,12,2,1.218132,hypergraph,86.548228
384,48,48,48,1,1.000000,individual,40.680176
384,48,96,20,2,1.976096,array_8x12,142.146144
384,48,384,48,6,1.000000,pbest,198.693878
384,48,192,24,3,1.270539,hypergraph,175.163878
384,96,96,96,1,1.000000,individual,81.360352
384,96,96,20,2,3.952191,array_8x12,284.292288
384,96,384,48,6,1.000000,pbest,198.693878
384,96,384,40,2,1.000000,array_16x24,282.242094
384,96,64,12,2,6.000000,hypergraph,293.755396
384,192,192,192,1,1.000000,individual,162.720704
384,192,96,20,2,4.000000,array_8x12,287.731307
384,192,384,48,6,1.000000,pbest,198.693878
384,192,384,40,2,1.000000,array_16x24,282.242094
384,192,48,16,1,8.000000,hypergraph,313.218713
384,384,384,384,1,1.000000,individual,325.441408
384,384,96,20,2,4.000000,array_8x12,287.731307
384,384,384,48,6,1.000000,pbest,198.693878
384,384,384,40,2,1.000000,array_16x24,282.242094
384,384,384,1,1,0.999388,hypergraph,324.904912
384,768,384,384,1,1.000000,individual,325.441408
384,768,96,20,2,4.000000,array_8x12,287.731307
384,768,384,48,6,1.000000,pbest,198.693878
384,768,384,40,2,1.000000,array_16x24,282.242094
384,768,384,1,1,1.000000,hypergraph,325.103797
384,1536,384,384,1,1.000000,individual,325.441408
384,1536,96,20,2,4.000000,array_8x12,287.731307
384,1536,384,48,6,1.000000,pbest,198.693878
384,1536,384,40,2,1.000000,array_16x24,282.242094
384,1536,384,1,1,1.000000,hypergraph,325.103797
384,3072,384,384,1,1.000000,individual,325.441408
384,3072,96,20,2,4.000000,array_8x12,287.731307
