Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
12,12,12,12,1,1.000000,individual,10.156205
12,12,12,6,1,1.000000,hypergraph,9.706517
12,24,12,12,1,1.000000,individual,10.156205
12,24,12,18,3,1.000000,hypergraph,9.965614
12,48,12,12,1,1.000000,individual,10.156205
12,48,12,18,3,1.000000,hypergraph,9.965614
12,96,12,12,1,1.000000,individual,10.156205
12,96,12,18,3,1.000000,hypergraph,9.965614
12,192,12,12,1,1.000000,individual,10.156205
12,192,12,18,3,1.000000,hypergraph,9.965614
12,384,12,12,1,1.000000,individual,10.156205
12,384,12,18,3,1.000000,hypergraph,9.965614
12,768,12,12,1,1.000000,individual,10.156205
12,768,12,18,3,1.000000,hypergraph,9.965614
12,1536,12,12,1,1.000000,individual,10.156205
12,1536,12,18,3,1.000000,hypergraph,9.965614
12,3072,12,12,1,1.000000,individual,10.156205
12,3072,12,18,3,1.000000,hypergraph,9.965614
12,6144,12,12,1,1.000000,individual,10.156205
12,6144,12,18,3,1.000000,hypergraph,9.965614
24,12,12,12,1,1.000000,individual,10.156205
24,12,4,1,1,6.000000,hypergraph,19.182727
24,24,24,24,1,1.000000,individual,20.312409
24,24,20,10,1,1.200000,hypergraph,19.835266
24,48,24,24,1,1.000000,individual,20.312409
24,48,12,18,3,2.000000,hypergraph,19.931228
24,96,24,24,1,1.000000,individual,20.312409
24,96,12,18,3,2.000000,hypergraph,19.931228
24,192,24,24,1,1.000000,individual,20.312409
24,192,12,18,3,2.000000,hypergraph,19.931228
24,384,24,24,1,1.000000,individual,20.312409
24,384,12,18,3,2.000000,hypergraph,19.931228
24,768,24,24,1,1.000000,individual,20.312409
24,768,12,18,3,2.000000,hypergraph,19.931228
24,1536,24,24,1,1.000000,individual,20.312409
24,1536,12,18,3,2.000000,hypergraph,19.931228
24,3072,24,24,1,1.000000,individual,20.312409
24,3072,12,18,3,2.000000,hypergraph,19.931228
24,6144,24,24,1,1.000000,individual,20.312409
24,6144,12,18,3,2.000000,hypergraph,19.931228
48,12,12,12,1,1.000000,individual,10.156205
48,12,8,1,1,6.000000,hypergraph,37.137145
48,24,24,24,1,1.000000,individual,20.312409
48,24,48,16,1,1.000000,hypergraph,38.890931
48,48,48,48,1,1.000000,individual,40.624819
48,48,20,10,1,2.400000,hypergraph,39.670532
48,96,48,48,1,1.000000,individual,40.624819
48,96,12,18,3,4.000000,hypergraph,39.862455
48,192,48,48,1,1.000000,individual,40.624819
48,192,12,18,3,4.000000,hypergraph,39.862455
48,384,48,48,1,1.000000,individual,40.624819
48,384,12,18,3,4.000000,hypergraph,39.862455
48,768,48,48,1,1.000000,individual,40.624819
48,768,12,18,3,4.000000,hypergraph,39.862455
48,1536,48,48,1,1.000000,individual,40.624819
48,1536,12,18,3,4.000000,hypergraph,39.862455
