viral_load_matrix	../sim,kinetics/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
infection_time	../sim,kinetics/Simulated_populations/used_pars_swab.csv
savepath	../../../collab-extras/code/supp,dd,booster/designs/hypergraph/
n_individuals	384
m_pools	64
q_split	1
start_time	10
end_time	120
fp_rate	0.01
LOD	100
pool_compositions	../../../public/simulation/designs/hypergraph/Design.n-384_m-64_q-1.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
loading pools from: ../../../public/simulation/designs/hypergraph/Design.n-384_m-64_q-1.npy
Time: 10; Case frequency: 0.00002; Efficiency: 5.66; Sensitivity: 0.8977; Specificity: 1.0000; Fraction >LOD: 0.9282
Time: 11; Case frequency: 0.00002; Efficiency: 5.66; Sensitivity: 0.8928; Specificity: 1.0000; Fraction >LOD: 0.9198
Time: 12; Case frequency: 0.00002; Efficiency: 5.66; Sensitivity: 0.9312; Specificity: 1.0000; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00002; Efficiency: 5.66; Sensitivity: 0.9423; Specificity: 1.0000; Fraction >LOD: 0.9561
Time: 14; Case frequency: 0.00003; Efficiency: 5.66; Sensitivity: 0.8960; Specificity: 1.0000; Fraction >LOD: 0.9518
Time: 15; Case frequency: 0.00003; Efficiency: 5.66; Sensitivity: 0.8826; Specificity: 1.0000; Fraction >LOD: 0.9468
Time: 16; Case frequency: 0.00003; Efficiency: 5.66; Sensitivity: 0.8697; Specificity: 1.0000; Fraction >LOD: 0.9112
Time: 17; Case frequency: 0.00004; Efficiency: 5.65; Sensitivity: 0.8437; Specificity: 1.0000; Fraction >LOD: 0.9210
Time: 18; Case frequency: 0.00004; Efficiency: 5.65; Sensitivity: 0.8177; Specificity: 1.0000; Fraction >LOD: 0.8934
Time: 19; Case frequency: 0.00005; Efficiency: 5.65; Sensitivity: 0.8185; Specificity: 1.0000; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00006; Efficiency: 5.65; Sensitivity: 0.7925; Specificity: 1.0000; Fraction >LOD: 0.8755
Time: 21; Case frequency: 0.00006; Efficiency: 5.65; Sensitivity: 0.8093; Specificity: 1.0000; Fraction >LOD: 0.8818
Time: 22; Case frequency: 0.00007; Efficiency: 5.65; Sensitivity: 0.7841; Specificity: 1.0000; Fraction >LOD: 0.8763
Time: 23; Case frequency: 0.00007; Efficiency: 5.65; Sensitivity: 0.7825; Specificity: 1.0000; Fraction >LOD: 0.8629
Time: 24; Case frequency: 0.00008; Efficiency: 5.65; Sensitivity: 0.7801; Specificity: 1.0000; Fraction >LOD: 0.8516
Time: 25; Case frequency: 0.00009; Efficiency: 5.65; Sensitivity: 0.7845; Specificity: 1.0000; Fraction >LOD: 0.8449
Time: 26; Case frequency: 0.00010; Efficiency: 5.65; Sensitivity: 0.7849; Specificity: 1.0000; Fraction >LOD: 0.8458
Time: 27; Case frequency: 0.00011; Efficiency: 5.64; Sensitivity: 0.7965; Specificity: 1.0000; Fraction >LOD: 0.8567
Time: 28; Case frequency: 0.00012; Efficiency: 5.64; Sensitivity: 0.7957; Specificity: 1.0000; Fraction >LOD: 0.8543
Time: 29; Case frequency: 0.00013; Efficiency: 5.64; Sensitivity: 0.7909; Specificity: 1.0000; Fraction >LOD: 0.8507
Time: 30; Case frequency: 0.00014; Efficiency: 5.64; Sensitivity: 0.7717; Specificity: 1.0000; Fraction >LOD: 0.8455
Time: 31; Case frequency: 0.00015; Efficiency: 5.64; Sensitivity: 0.7745; Specificity: 1.0000; Fraction >LOD: 0.8516
Time: 32; Case frequency: 0.00017; Efficiency: 5.64; Sensitivity: 0.7865; Specificity: 1.0000; Fraction >LOD: 0.8485
Time: 33; Case frequency: 0.00019; Efficiency: 5.63; Sensitivity: 0.7601; Specificity: 1.0000; Fraction >LOD: 0.8576
Time: 34; Case frequency: 0.00020; Efficiency: 5.63; Sensitivity: 0.7617; Specificity: 1.0000; Fraction >LOD: 0.8465
Time: 35; Case frequency: 0.00022; Efficiency: 5.63; Sensitivity: 0.7729; Specificity: 1.0000; Fraction >LOD: 0.8403
Time: 36; Case frequency: 0.00024; Efficiency: 5.63; Sensitivity: 0.7697; Specificity: 1.0000; Fraction >LOD: 0.8327
Time: 37; Case frequency: 0.00027; Efficiency: 5.63; Sensitivity: 0.7769; Specificity: 1.0000; Fraction >LOD: 0.8417
Time: 38; Case frequency: 0.00029; Efficiency: 5.62; Sensitivity: 0.7765; Specificity: 1.0000; Fraction >LOD: 0.8474
Time: 39; Case frequency: 0.00031; Efficiency: 5.61; Sensitivity: 0.7929; Specificity: 1.0000; Fraction >LOD: 0.8504
Time: 40; Case frequency: 0.00034; Efficiency: 5.61; Sensitivity: 0.7797; Specificity: 1.0000; Fraction >LOD: 0.8526
Time: 41; Case frequency: 0.00037; Efficiency: 5.60; Sensitivity: 0.7665; Specificity: 1.0000; Fraction >LOD: 0.8528
Time: 42; Case frequency: 0.00040; Efficiency: 5.60; Sensitivity: 0.7765; Specificity: 1.0000; Fraction >LOD: 0.8468
Time: 43; Case frequency: 0.00044; Efficiency: 5.60; Sensitivity: 0.7750; Specificity: 1.0000; Fraction >LOD: 0.8554
Time: 44; Case frequency: 0.00048; Efficiency: 5.60; Sensitivity: 0.7837; Specificity: 1.0000; Fraction >LOD: 0.8552
Time: 45; Case frequency: 0.00052; Efficiency: 5.59; Sensitivity: 0.7749; Specificity: 1.0000; Fraction >LOD: 0.8575
Time: 46; Case frequency: 0.00057; Efficiency: 5.57; Sensitivity: 0.7813; Specificity: 1.0000; Fraction >LOD: 0.8520
Time: 47; Case frequency: 0.00062; Efficiency: 5.56; Sensitivity: 0.8006; Specificity: 1.0000; Fraction >LOD: 0.8570
Time: 48; Case frequency: 0.00068; Efficiency: 5.56; Sensitivity: 0.7713; Specificity: 1.0000; Fraction >LOD: 0.8500
Time: 49; Case frequency: 0.00074; Efficiency: 5.56; Sensitivity: 0.7769; Specificity: 1.0000; Fraction >LOD: 0.8493
Time: 50; Case frequency: 0.00081; Efficiency: 5.54; Sensitivity: 0.7825; Specificity: 1.0000; Fraction >LOD: 0.8463
Time: 51; Case frequency: 0.00088; Efficiency: 5.53; Sensitivity: 0.7621; Specificity: 1.0000; Fraction >LOD: 0.8446
Time: 52; Case frequency: 0.00095; Efficiency: 5.52; Sensitivity: 0.7681; Specificity: 1.0000; Fraction >LOD: 0.8443
Time: 53; Case frequency: 0.00104; Efficiency: 5.51; Sensitivity: 0.7673; Specificity: 1.0000; Fraction >LOD: 0.8433
Time: 54; Case frequency: 0.00113; Efficiency: 5.51; Sensitivity: 0.7677; Specificity: 1.0000; Fraction >LOD: 0.8438
Time: 55; Case frequency: 0.00123; Efficiency: 5.48; Sensitivity: 0.7853; Specificity: 1.0000; Fraction >LOD: 0.8439
Time: 56; Case frequency: 0.00134; Efficiency: 5.46; Sensitivity: 0.7957; Specificity: 1.0000; Fraction >LOD: 0.8468
Time: 57; Case frequency: 0.00146; Efficiency: 5.44; Sensitivity: 0.7821; Specificity: 1.0000; Fraction >LOD: 0.8471
Time: 58; Case frequency: 0.00159; Efficiency: 5.44; Sensitivity: 0.7634; Specificity: 1.0000; Fraction >LOD: 0.8459
Time: 59; Case frequency: 0.00174; Efficiency: 5.42; Sensitivity: 0.7689; Specificity: 1.0000; Fraction >LOD: 0.8465
Time: 60; Case frequency: 0.00189; Efficiency: 5.39; Sensitivity: 0.7861; Specificity: 1.0000; Fraction >LOD: 0.8511
Time: 61; Case frequency: 0.00207; Efficiency: 5.36; Sensitivity: 0.7781; Specificity: 1.0000; Fraction >LOD: 0.8483
Time: 62; Case frequency: 0.00225; Efficiency: 5.35; Sensitivity: 0.7802; Specificity: 1.0000; Fraction >LOD: 0.8489
Time: 63; Case frequency: 0.00245; Efficiency: 5.33; Sensitivity: 0.7665; Specificity: 1.0000; Fraction >LOD: 0.8505
Time: 64; Case frequency: 0.00267; Efficiency: 5.29; Sensitivity: 0.7650; Specificity: 1.0000; Fraction >LOD: 0.8495
Time: 65; Case frequency: 0.00291; Efficiency: 5.25; Sensitivity: 0.7857; Specificity: 1.0000; Fraction >LOD: 0.8473
Time: 66; Case frequency: 0.00318; Efficiency: 5.22; Sensitivity: 0.7786; Specificity: 1.0000; Fraction >LOD: 0.8457
Time: 67; Case frequency: 0.00346; Efficiency: 5.20; Sensitivity: 0.7670; Specificity: 1.0000; Fraction >LOD: 0.8466
Time: 68; Case frequency: 0.00377; Efficiency: 5.16; Sensitivity: 0.7703; Specificity: 1.0000; Fraction >LOD: 0.8464
Time: 69; Case frequency: 0.00411; Efficiency: 5.11; Sensitivity: 0.7773; Specificity: 1.0000; Fraction >LOD: 0.8482
Time: 70; Case frequency: 0.00447; Efficiency: 5.09; Sensitivity: 0.7789; Specificity: 1.0000; Fraction >LOD: 0.8488
Time: 71; Case frequency: 0.00486; Efficiency: 5.01; Sensitivity: 0.7693; Specificity: 1.0000; Fraction >LOD: 0.8470
Time: 72; Case frequency: 0.00530; Efficiency: 4.96; Sensitivity: 0.7878; Specificity: 1.0000; Fraction >LOD: 0.8451
Time: 73; Case frequency: 0.00577; Efficiency: 4.94; Sensitivity: 0.7761; Specificity: 1.0000; Fraction >LOD: 0.8455
Time: 74; Case frequency: 0.00630; Efficiency: 4.88; Sensitivity: 0.7667; Specificity: 1.0000; Fraction >LOD: 0.8459
Time: 75; Case frequency: 0.00687; Efficiency: 4.83; Sensitivity: 0.7718; Specificity: 1.0000; Fraction >LOD: 0.8460
Time: 76; Case frequency: 0.00748; Efficiency: 4.74; Sensitivity: 0.7775; Specificity: 1.0000; Fraction >LOD: 0.8479
Time: 77; Case frequency: 0.00814; Efficiency: 4.67; Sensitivity: 0.7751; Specificity: 1.0000; Fraction >LOD: 0.8468
Time: 78; Case frequency: 0.00889; Efficiency: 4.63; Sensitivity: 0.7779; Specificity: 1.0000; Fraction >LOD: 0.8458
Time: 79; Case frequency: 0.00969; Efficiency: 4.55; Sensitivity: 0.7798; Specificity: 1.0000; Fraction >LOD: 0.8470
Time: 80; Case frequency: 0.01056; Efficiency: 4.47; Sensitivity: 0.7801; Specificity: 1.0000; Fraction >LOD: 0.8484
Time: 81; Case frequency: 0.01149; Efficiency: 4.42; Sensitivity: 0.7722; Specificity: 1.0000; Fraction >LOD: 0.8484
Time: 82; Case frequency: 0.01250; Efficiency: 4.32; Sensitivity: 0.7808; Specificity: 1.0000; Fraction >LOD: 0.8475
Time: 83; Case frequency: 0.01362; Efficiency: 4.23; Sensitivity: 0.7830; Specificity: 1.0000; Fraction >LOD: 0.8466
Time: 84; Case frequency: 0.01484; Efficiency: 4.11; Sensitivity: 0.7821; Specificity: 1.0000; Fraction >LOD: 0.8464
Time: 85; Case frequency: 0.01615; Efficiency: 4.04; Sensitivity: 0.7745; Specificity: 1.0000; Fraction >LOD: 0.8468
Time: 86; Case frequency: 0.01759; Efficiency: 3.93; Sensitivity: 0.7690; Specificity: 1.0000; Fraction >LOD: 0.8471
Time: 87; Case frequency: 0.01912; Efficiency: 3.82; Sensitivity: 0.7769; Specificity: 1.0000; Fraction >LOD: 0.8480
Time: 88; Case frequency: 0.02080; Efficiency: 3.71; Sensitivity: 0.7834; Specificity: 1.0000; Fraction >LOD: 0.8485
Time: 89; Case frequency: 0.02262; Efficiency: 3.64; Sensitivity: 0.7775; Specificity: 1.0000; Fraction >LOD: 0.8483
Time: 90; Case frequency: 0.02459; Efficiency: 3.48; Sensitivity: 0.7911; Specificity: 1.0000; Fraction >LOD: 0.8475
