viral_load_matrix	../sim,kinetics/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
infection_time	../sim,kinetics/Simulated_populations/used_pars_swab.csv
savepath	../../../collab-extras/code/supp,dd,booster/designs/hypergraph/
n_individuals	44
m_pools	30
q_split	3
start_time	10
end_time	120
fp_rate	0.01
LOD	100
pool_compositions	../../../public/simulation/designs/hypergraph/Design.n-44_m-30_q-3.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
loading pools from: ../../../public/simulation/designs/hypergraph/Design.n-44_m-30_q-3.npy
Time: 10; Case frequency: 0.00002; Efficiency: 1.47; Sensitivity: 0.8793; Specificity: 1.0000; Fraction >LOD: 0.9282
Time: 11; Case frequency: 0.00002; Efficiency: 1.47; Sensitivity: 0.8861; Specificity: 0.9999; Fraction >LOD: 0.9198
Time: 12; Case frequency: 0.00002; Efficiency: 1.47; Sensitivity: 0.9385; Specificity: 0.9999; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00002; Efficiency: 1.47; Sensitivity: 0.9512; Specificity: 1.0000; Fraction >LOD: 0.9561
Time: 14; Case frequency: 0.00003; Efficiency: 1.47; Sensitivity: 0.9163; Specificity: 0.9998; Fraction >LOD: 0.9518
Time: 15; Case frequency: 0.00003; Efficiency: 1.47; Sensitivity: 0.8710; Specificity: 0.9998; Fraction >LOD: 0.9468
Time: 16; Case frequency: 0.00003; Efficiency: 1.47; Sensitivity: 0.8618; Specificity: 0.9999; Fraction >LOD: 0.9112
Time: 17; Case frequency: 0.00004; Efficiency: 1.47; Sensitivity: 0.8841; Specificity: 0.9997; Fraction >LOD: 0.9210
Time: 18; Case frequency: 0.00004; Efficiency: 1.47; Sensitivity: 0.8399; Specificity: 0.9999; Fraction >LOD: 0.8934
Time: 19; Case frequency: 0.00005; Efficiency: 1.47; Sensitivity: 0.8178; Specificity: 0.9998; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00006; Efficiency: 1.47; Sensitivity: 0.7923; Specificity: 0.9999; Fraction >LOD: 0.8755
Time: 21; Case frequency: 0.00006; Efficiency: 1.47; Sensitivity: 0.8011; Specificity: 0.9999; Fraction >LOD: 0.8818
